SMILES,"LogS_1,2-dichloroethane","LogS_1,4-dioxane",LogS_2-butanone,LogS_2-ethoxyethanol,LogS_2-methoxyethanol,LogS_2-propoxyethanol,LogS_DMAc,LogS_DMF,LogS_DMSO,LogS_MTBE,LogS_NMP,LogS_THF,LogS_acetic acid,LogS_acetone,LogS_acetonitrile,LogS_benzene,LogS_chlorobenzene,LogS_chloroform,LogS_cyclohexane,LogS_cyclohexanone,LogS_dichloromethane,LogS_diethyl ether,LogS_ethanol,LogS_ethyl acetate,LogS_ethyl formate,LogS_ethylene glycol,LogS_isobutanol,LogS_isobutyl acetate,LogS_isopentanol,LogS_isopropanol,LogS_isopropyl acetate,LogS_methanol,LogS_methyl acetate,LogS_n-butanol,LogS_n-butyl acetate,LogS_n-heptane,LogS_n-heptanol,LogS_n-hexane,LogS_n-hexanol,LogS_n-octanol,LogS_n-pentanol,LogS_n-pentyl acetate,LogS_n-propanol,LogS_n-propyl acetate,LogS_propylene glycol,LogS_sec-butanol,LogS_tetrachloromethane,LogS_toluene,LogS_transcutol,LogS_water
C=C1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,,,,,,,,0.7411668304835858,,,,0.7923991709690607,,0.6816515230478379,0.3675816660988348,,,,,,0.905516658736976,,0.4598595799807072,0.5346612138562391,,,,,,0.1857119450139325,,0.7767010888218492,,0.2316512648364202,,,,,,,,,0.3449500193520136,,-0.3606776738393686,,,,0.3495080708578422,-4.110283706483123
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,,,,,,,,,-0.9909575478690316,,,,,,,,,,,,,,0.5640967097733444,0.3907051091388669,,-2.028116929175731,,,,0.6251214003860788,,,,0.344560709425792,,,,,,,,,,,-1.33822820649651,0.3960435418288273,,,0.6942765472037162,-4.244539859579181
C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,,,,,,,,,0.5010100708372596,,,0.5575272140996735,,0.4053661026866256,-0.4177603374658418,,,-0.2022660889485501,,,,,0.7724601709738411,0.1107108666812713,,,,,,-2.045451259414294,,,,-1.215743950722033,,-2.882770217270079,,-2.666351435688981,,,,,,,,,,,,
C=C1C[C@]23C[C@H]1CC[C@H]2[C@@]12CC[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,,,,,,,,,,,,,,-0.0279653940796168,-0.906311399110662,,,,,,,,-1.694003007067109,-0.7890813267115604,,,,,,0.0895331537455962,,0.2248735572519036,,-0.0699486056226502,,,,,,,,,,,,,,,,-2.9341839351602577
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,,,-1.0165703846425098,,,,,,,-2.5909198803981264,,,,-1.105541826267265,-1.6330771343971788,,,,,,,,-1.2727895888980254,-1.3115855714730016,,,,,,-1.9068469669206007,,,,-1.5435573623225542,,,,,,,,,,,,,,,-0.69676630038113,-5.1015812290595886
C=CC(=O)NC(C)(C)C,,,,,,,-0.0188264391355977,-0.5024867069865983,,,,,,,,,,,,,-0.818141620145984,,-1.532871984021576,-0.7904833182676023,,,,,,,,,,,,,,,,,,,,,,,,,,-1.304388969077794
C=CC(=O)NC(C)(C)CC(C)=O,,,0.9144571033105872,,,,,,,,,,,0.9458625551182614,,,,,,,,,1.0103440885293489,0.7416626839531636,0.8742172170849547,,0.8636044979492475,,0.696786312990962,0.8345559605292842,,1.2562828702821351,0.9219968438908536,0.7923385826155862,,,,,0.6278248654302637,,0.6696439854521715,,0.9161372933062814,,,,,,,
C=CC(=O)NC(C)(C)CS(=O)(=O)O,,-2.705997455970259,,,,,,,,,,,,-0.9626762076464884,-2.7588862058351227,,,,-3.143581842826553,,,,-0.8113310927861467,-1.6927850237268718,,-1.7233813212265028,-1.4563705298460723,,,-2.135455869162017,,-0.5338651480842986,,-1.2894765182257288,,,-1.5191551846106677,,,,,,-1.1374914724042529,,,,,-0.4051194537870838,,
C=CC(=O)NCO,,,,,,,,,,,,,,,-0.0887344501807581,,,-1.5422621486543209,,,-1.3574137508241886,,,-0.5874272170106765,,,,,,,,,,,-1.1765183272340338,,,,,,,,,,,,,-2.071105200803347,,
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,,,,,,,,,,,,,,,-0.8178353236490425,-2.105060535023167,,,,,,,-0.356516971263974,,,,,,,,,-0.4496041709252433,,,,,,,,,,,,,,,,-2.1224885784705974,,
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,,,,,,,,,,,,,,,,,,,,,-1.8366684882468007,,-2.094329687354488,-1.8823833100090888,,,,,,,,,,,,,,,,,,,,,-1.9827625847626624,,,,-1.9760658409495824,-2.9901977686826515
C=CC(C)(O)CCC=C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.999640374947989
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.11652727046762
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1.O.O.O,,,,,,,,,,,,,,-1.326267290775386,-2.6995065765986284,,,,,,,,-1.3105564874184172,-3.13797723602769,,,,,,-1.7124555933381247,,-0.6534021468583271,,-1.7814574548411146,,,,,,,-2.142378903922657,,,,,-1.8080840757171968,,,,-3.0950413843202544
C=CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.277323637333053
C=CCc1ccc(O)c(OC)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.89888345119654
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl,,,,,,,,,,,,,,,,,,,,,,,-0.0393278579799312,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3217428968201039
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.O=C(O)C(O)C(O)C(=O)O,,,,,,,,,,,,,,-1.802884376984524,,,,,,,,,-1.27402226829907,,,,,,,-1.955659570328827,,,,-1.850853312148152,,,,,,,,,,,,,,,,-2.086379939272858
C=NCC#N,,,,,,,,,,,,,,,,,,,,,,,-1.2832686090115528,,,,,,,-1.7721670400705654,,-0.7307264409292271,,-2.0482920968568323,,,,,,,,,-1.611318308105245,,,,,,,-1.101063526988567
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,,,,,,,,,,,,,,,-1.7309849619646869,,,,,,,,-1.712459673705049,,,,,,,-2.187957178747505,,-1.4360453367098869,,,,,,,,,,,-2.0474851596576773,,,,,,,
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,,,,,,,,,,,,-2.941300650945705,,-2.32837559337419,,,,,,,,,-2.378533340314894,-2.6421289684075866,,,,,,-2.3296157868345952,,-1.4997714195101706,,-2.3465902139645243,,,,,,,,,-2.4488538628518888,,,,,,,
CC(=CC(C)=Nc1c(C)cc(C)cc1C)Nc1c(C)cc(C)cc1C,,,,,,,,,,,,0.7121429683896868,,,,,,,,,,,-1.014623034390584,,,,,,,,,-1.3789163589908364,,,,,,0.2273718861346017,,,,,,,,,,0.5947471375168797,,
CC(=CC(C)=Nc1c(C)cccc1C)Nc1c(C)cccc1C,,,,,,,,,,,,0.9656425871519156,,,,,,,,,,0.5409318739519751,-0.6498005890461411,,,,,,,,,-1.143878360529662,,,,,,0.4836386014372856,,,,,,,,,,0.7496228332395789,,
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,,0.0083674844918644,,,,,,0.6780176381113807,0.9283837224660644,,0.6488136595192683,,,0.419926450016737,,,,,,,,,-0.2995691815859551,-0.7027476276383638,,-0.5280270348486147,-1.308559970731484,,,-0.8463284462112983,,-0.0815815728655291,,-1.5776991714381896,,,,,,,,,,,,,,,,-1.827351436412659
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,,,,,,,,,,,,,,-2.080749710417527,,,,,,,,,-3.139670409017212,-1.894122333280967,,,,,,,,,,,,,,-3.272997591186871,,,,,,,,,,,,-4.781176997846151
CC(=O)C1=CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,,,,,,,,,,,,,,-1.5842040234415742,,,,,,,,,-1.4387913811462398,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)C1C(=O)C=C(C)OC1=O,,,-0.7602408766625813,,,,0.1295443124655201,0.085267795268795,-0.3396369391412644,,,,,-0.1025505133345921,-0.0084663379106229,,,,,,,,-0.948377633538872,-0.2076085099024592,-0.0922542872368958,,,,,-1.132641590206957,,-0.7490828355425964,,,,,,,,,-1.15081058938412,,-1.053095687468529,,,,,,,
CC(=O)CCC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5192543672207544
CC(=O)CCc1ccc(O)cc1,,,,,,,,,,,,,0.3020398302259663,0.6832263083217988,,,,,,,,,0.5742515331975678,0.2847699853752748,,,,,,0.4152877186622228,,,0.3457554662198066,0.1634937874229313,,,,,,,,,0.3470850091588956,,,0.1571082565979321,,,,-1.3017787997061527
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,,-3.09121349668671,-2.626915154846423,,,,,,-2.383513699245844,,,,,-2.4585027545702114,-2.6303618668464845,,,,-3.8445408233401146,,,,-1.593950274795782,-2.734456652847953,,,,,,-2.1392768528969737,,,,-2.426857049026729,,,,,,,,,-1.9136983242484509,,,,,-3.417517578767265,,
CC(=O)N1CCC[C@H]1C(=O)O,,-0.4536257762216132,-0.7376890523678504,,,,,,,,,,,-0.4631465205233805,-0.1805267540313206,,,,,,0.0058666701687758,,0.328805427010954,-1.1856792395964957,,,-0.1287602199858963,,,0.0141267360035689,,0.6904940370835615,-0.8965060723187388,-0.1647170053545893,,,,,,,-0.2841705105210359,,0.3364424421506319,,,-0.1431693759049866,,,,0.0269287137355863
CC(=O)N1CCN(c2ccc(O)cc2)CC1,,,,-1.1353899043965932,-0.9068130173810102,-1.2965948965400629,,,,,,,,,-1.5435139991100404,,,,,,,,-1.2489942424708298,,,-1.781513059690038,-1.7302457552199857,,,-1.5733506624900606,,-0.9923318130067847,,-1.6913449120640782,,,,,,,,,-1.496056353615805,,,,,,,
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,,-1.092974591616608,,,,,,,,,-0.6950705445211439,,,,,,,,,,,,-1.393976902091573,,,,,,,-1.99516311032531,,,,,,,,,,,,,-1.1231401868632986,,-1.6582558967691057,,,,-1.0635417065401065,-4.655317366562111
CC(=O)N1CN(C(C)=O)CN(C(C)=O)C1,,,,,,,,,,,,,,,-0.0219300437968969,,,,,,,,,-0.802026295592522,,,,,,,,0.7995405985317888,,,,,,,,,,,,,,,,,,-0.6179611023948922
CC(=O)NC1(C)CCC2CC1C(C)=NC2(C)C,,,,-1.721640528991749,,,,,,,,,,-1.3127105335937954,-0.3012094733521962,,,,,,,,-1.5826606948503028,,,,,,,-1.759116908284434,,-0.6303738215257234,,-1.822604945692464,,,,,,,,,-1.7182004014406078,,-0.5635402972648802,,,,,-1.17830301634849
CC(=O)NC1CCSC1=O,,,,0.2281670516392503,0.4693938602730326,0.0345915130510032,,,,,,,,,,,,,,,,,0.1101187446471067,-0.5262764571308817,,,,,,,,0.5935393436275458,-0.2785216810907147,-0.2688553985547258,-0.8235229017748436,,,,,,-0.3828606164140009,,-0.1066692792424559,-0.7154158878094932,,,,,,
CC(=O)NCC(=O)O,,-1.8118402606077209,,,,,,,,,,,,-1.9391207029727584,-2.24271556519352,,,,,,,,-1.1997676355569324,,0.0137771640054157,,-1.6565271717544665,,,-1.3962972454749014,,-0.810904882398483,,-1.5928098206463148,,,,,,,-1.685957411687932,,-1.456985954483106,,,-1.5135044936683009,,,,-0.5192478757117085
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,,,,,,,,,,,,,,,,,,,,,-1.6586027847948477,,,,,,,-1.9460614267135687,,-1.240478392675258,,,,,,,,,,,-1.8292223860127312,,,,,,,-2.2405885551119504
CC(=O)NS(=O)(=O)c1ccc(N)cc1,,-0.7624201968847741,,,,,,-0.4096250645684222,-0.5098467099561486,,,,,,-1.1503912231136106,,,,,,,,-0.6350408397640465,,,-1.539282293433647,,,,,,,,-1.2896630661807251,,,,,,-2.030193966201776,-1.468824148764516,,-1.449945994231357,,-0.2973542078935052,,,,,-1.481636902322719
CC(=O)N[C@@H](CC(C)C)C(=O)O,,,,,,,,,,,,,,-1.1440655405186844,-1.6614242149086624,,,,,,,,-0.2551011919921904,-1.8137875000763728,,,-0.6435014855668417,,,-0.4973644806944637,,0.0154072743692879,-1.6985603549739956,-0.607769567521042,,,,,,,,,-0.4622508438131437,-1.9610490737125108,,-0.5704520129558768,,,,
CC(=O)N[C@@H](CCC(N)=O)C(=O)O,,,-2.3235384129385173,,,,,,,,,,,-2.500755792995375,-2.576891956421944,,,,,,,,-2.102127966129047,-2.7209369594204245,,,-2.416605345418619,,,,,-1.487709844958664,-2.5962695164079026,-2.8032413611899303,,,,,,,,,-2.236172782951857,,,-2.3080981186080654,,,,-0.8311932395160859
CC(=O)N[C@H](C(=O)O)C(C)C,,-0.3541933147559522,-0.9906926331515328,,,,,,,,,,,-0.6461807520467487,-1.1720168833501097,,,,,,,,,-1.3830393089055972,,,-0.2772972003916548,,,-0.1118039336767584,,,-1.2113399054907854,-0.2348114454614173,,,,,,,,,-0.0691511572011217,,,,,,,-0.4341250689827978
CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.255919485447838,,-2.55507791885266,,,,,,,,,,
CC(=O)Nc1ccc(C(=O)O)cc1,,-1.4159759427836027,,,,,,,,,,,-1.149827171044984,-1.2800019525259163,-2.083291141216409,,,,,,,,-0.8878151019387365,,,,-1.2479147824317542,,,-1.027764025616993,,-0.736323590768587,,-1.1818492023159692,,,,,,,-1.248565909818786,,-1.0872988876220482,,,-1.137384949192752,,,,
CC(=O)Nc1ccc(CC(=O)O)cc1,,,-1.034081865980042,,,,,,,,,,,-1.0534327359785742,-1.4751751174144625,,,,-4.5025321768988285,,,,-0.7547004394074122,-1.891341582234734,,,,,,-1.1492325792425404,,-0.4609857898082293,,-1.106882529636063,,,,,,,,,-0.9209725648338216,,,,,-4.257256793602464,,-1.7296686067160416
CC(=O)Nc1ccc(O)cc1,,,,,,,,,,,,,,-0.3370119825684364,-0.8832180360628826,,,,,,,,-0.0406858149763315,,,,,,,-0.2474396491367177,,0.1926936676426562,,-0.3844100996937477,,,,,,,,,-0.2405315362085564,,-0.160268529182823,,,,-0.0386096205538829,-1.0654069733208589
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,,-1.700951422351746,-1.4625045219637252,,,,-0.0576997487938303,-0.5460749998383391,-0.2486205420541219,,-0.455045539553586,,,-1.247121343479049,-1.3482481127532524,,,,,,,,-1.9868935859857848,-1.8210976123543057,-1.6875924021439723,,-2.2798099523884803,,,-2.386588280785229,-2.1198359788355146,-1.6490572751236174,-1.6360686094060963,-2.1531760820998724,-2.1659106790640954,,,,,,,-2.366315738089164,-2.124644468355461,-2.041014164351446,,,,-3.4949952448238566,,-4.016112012932587
CC(=O)Nc1ccc([N+](=O)[O-])cc1,,-1.0839483799720198,,,,,,0.2392836615543853,,,0.1148931492350624,,,,-1.132152226022901,,,,-4.457183704939847,,,,-1.2622187704543484,-1.2382690486243677,,-1.5948958437049934,-1.5972065792320258,,,-1.4164052132019065,,-1.1904299821111743,,-1.4036765578231456,,,-1.5279516063011531,,,,,,-1.3254056730653383,,,,,,,-3.128977748394409
CC(=O)Nc1cccc(N)c1,,,,,,,,0.0977755123588882,,,,0.6268430390012909,,0.1842171361537963,-0.0437358483569849,,,,,,,,,-0.2785151268342328,,,,,,-0.0487501934943116,,0.6322844784554569,,,,,,,,,,,,,,,,,,0.7440651589250658
CC(=O)Nc1ccccc1[N+](=O)[O-],,0.3067163541990041,,,,,,0.545951582941322,,,0.5807697699600349,,,,-0.3138914149899043,,,,-1.8095339030779551,,,,-0.4021896945513137,-0.0574617624713354,,-0.8897021680867424,-0.8321421662519811,,,-0.7952187648682717,,-0.1340585266189558,,-0.7513698189702184,,,-1.1230858328223812,,,,,,-0.5561397731518106,,,,,,,-1.953128990788568
CC(=O)Nc1ccncc1NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2180750402735607,,,,,,,,,,-3.336691152835218
