SMILES,LogS_acetone,LogS_acetonitrile,LogS_ethanol,LogS_ethyl acetate,LogS_isopropanol,LogS_methanol,LogS_n-butanol,LogS_n-propanol,LogS_water
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,,-1.7309849619646869,-1.712459673705049,,-2.187957178747505,-1.4360453367098869,,-2.0474851596576773,
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,-2.32837559337419,,-2.378533340314894,-2.6421289684075866,-2.3296157868345952,-1.4997714195101706,-2.3465902139645243,-2.4488538628518888,
CC(=CC(C)=Nc1c(C)cc(C)cc1C)Nc1c(C)cc(C)cc1C,,,-1.014623034390584,,,-1.3789163589908364,,,
CC(=CC(C)=Nc1c(C)cccc1C)Nc1c(C)cccc1C,,,-0.6498005890461411,,,-1.143878360529662,,,
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,0.419926450016737,,-0.2995691815859551,-0.7027476276383638,-0.8463284462112983,-0.0815815728655291,-1.5776991714381896,,-1.827351436412659
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-2.080749710417527,,-3.139670409017212,-1.894122333280967,,,,,-4.781176997846151
CC(=O)C1=CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,-1.5842040234415742,,-1.4387913811462398,,,,,,
CC(=O)C1C(=O)C=C(C)OC1=O,-0.1025505133345921,-0.0084663379106229,-0.948377633538872,-0.2076085099024592,-1.132641590206957,-0.7490828355425964,,-1.053095687468529,
CC(=O)CCC(=O)O,,,,,,,,,1.5192543672207544
CC(=O)CCc1ccc(O)cc1,0.6832263083217988,,0.5742515331975678,0.2847699853752748,0.4152877186622228,,0.1634937874229313,0.3470850091588956,-1.3017787997061527
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,-2.4585027545702114,-2.6303618668464845,-1.593950274795782,-2.734456652847953,-2.1392768528969737,,-2.426857049026729,-1.9136983242484509,
CC(=O)N1CCC[C@H]1C(=O)O,-0.4631465205233805,-0.1805267540313206,0.328805427010954,-1.1856792395964957,0.0141267360035689,0.6904940370835615,-0.1647170053545893,0.3364424421506319,0.0269287137355863
CC(=O)N1CCN(c2ccc(O)cc2)CC1,,-1.5435139991100404,-1.2489942424708298,,-1.5733506624900606,-0.9923318130067847,-1.6913449120640782,-1.496056353615805,
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,,,-1.393976902091573,,-1.99516311032531,,,-1.1231401868632986,-4.655317366562111
CC(=O)N1CN(C(C)=O)CN(C(C)=O)C1,,-0.0219300437968969,,-0.802026295592522,,0.7995405985317888,,,-0.6179611023948922
CC(=O)NC1(C)CCC2CC1C(C)=NC2(C)C,-1.3127105335937954,-0.3012094733521962,-1.5826606948503028,,-1.759116908284434,-0.6303738215257234,-1.822604945692464,-1.7182004014406078,-1.17830301634849
CC(=O)NC1CCSC1=O,,,0.1101187446471067,-0.5262764571308817,,0.5935393436275458,-0.2688553985547258,-0.1066692792424559,
CC(=O)NCC(=O)O,-1.9391207029727584,-2.24271556519352,-1.1997676355569324,,-1.3962972454749014,-0.810904882398483,-1.5928098206463148,-1.456985954483106,-0.5192478757117085
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,-1.6586027847948477,,-1.9460614267135687,-1.240478392675258,,-1.8292223860127312,-2.2405885551119504
CC(=O)NS(=O)(=O)c1ccc(N)cc1,,-1.1503912231136106,-0.6350408397640465,,,,-1.2896630661807251,-1.449945994231357,-1.481636902322719
CC(=O)N[C@@H](CC(C)C)C(=O)O,-1.1440655405186844,-1.6614242149086624,-0.2551011919921904,-1.8137875000763728,-0.4973644806944637,0.0154072743692879,-0.607769567521042,-0.4622508438131437,
CC(=O)N[C@@H](CCC(N)=O)C(=O)O,-2.500755792995375,-2.576891956421944,-2.102127966129047,-2.7209369594204245,,-1.487709844958664,-2.8032413611899303,-2.236172782951857,-0.8311932395160859
CC(=O)N[C@H](C(=O)O)C(C)C,-0.6461807520467487,-1.1720168833501097,,-1.3830393089055972,-0.1118039336767584,,-0.2348114454614173,-0.0691511572011217,-0.4341250689827978
CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,,,,,,,,,
CC(=O)Nc1ccc(C(=O)O)cc1,-1.2800019525259163,-2.083291141216409,-0.8878151019387365,,-1.027764025616993,-0.736323590768587,-1.1818492023159692,-1.0872988876220482,
CC(=O)Nc1ccc(CC(=O)O)cc1,-1.0534327359785742,-1.4751751174144625,-0.7547004394074122,-1.891341582234734,-1.1492325792425404,-0.4609857898082293,-1.106882529636063,-0.9209725648338216,-1.7296686067160416
CC(=O)Nc1ccc(O)cc1,-0.3370119825684364,-0.8832180360628826,-0.0406858149763315,,-0.2474396491367177,0.1926936676426562,-0.3844100996937477,-0.2405315362085564,-1.0654069733208589
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,-1.247121343479049,-1.3482481127532524,-1.9868935859857848,-1.8210976123543057,-2.386588280785229,-1.6490572751236174,-2.1531760820998724,-2.124644468355461,-4.016112012932587
CC(=O)Nc1ccc([N+](=O)[O-])cc1,,-1.132152226022901,-1.2622187704543484,-1.2382690486243677,-1.4164052132019065,-1.1904299821111743,-1.4036765578231456,-1.3254056730653383,-3.128977748394409
CC(=O)Nc1cccc(N)c1,0.1842171361537963,-0.0437358483569849,,-0.2785151268342328,-0.0487501934943116,0.6322844784554569,,,0.7440651589250658
CC(=O)Nc1ccccc1[N+](=O)[O-],,-0.3138914149899043,-0.4021896945513137,-0.0574617624713354,-0.7952187648682717,-0.1340585266189558,-0.7513698189702184,-0.5561397731518106,-1.953128990788568
CC(=O)Nc1ccncc1NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,,,,,,,,,-3.336691152835218
CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1,0.4001076690235421,-1.1385300685844686,,-1.1550584881016228,,0.4358017214173729,,-0.0916805646737317,0.4509205958051639
CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,0.23095619541761,-0.0912161348058264,-0.7270772135459016,0.2083396195479648,-0.9114907875609696,-0.7251416466863734,,-0.748173569729903,
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@@]21C,,,-1.8853456118241927,-1.861087755520633,,-1.6985911284788524,,,
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,-1.072593097708152,,-1.5428473677170902,-1.4692627970647083,-1.780670447916605,,,,
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]32)C1,-0.4572310155384304,-0.8816107087159893,-1.10507939288906,-0.3598969187848491,-1.1603781565172222,-1.1494711257391814,-0.9984140830541012,,
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(C(C)=O)=CC[C@@H]32)C1,-1.0309277388138829,,-1.6079996995888053,,,-1.80577992569514,,,
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,-0.7545509903439924,-1.3990574320306155,-0.7186499812271832,,-0.755075594427082,-0.8711730015970192,,-0.4798720934511357,
CC(=O)O[C@H]1NC(=O)[C@@H]1[C@@H](C)O[Si](C)(C)C(C)(C)C,0.369677307938487,-0.0050710510048606,-0.0516892466873787,0.2847699853752748,,0.1922994125088202,,,
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,-2.2376074636100025,-2.342083830425512,-2.2447861123088217,-2.2424254154601626,-2.246206381510149,-2.246012199472318,-2.3332155455320382,,-3.935310341302064
CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,,,-1.0378723223433572,0.0082855475920797,-1.3580395398944685,-0.7530915331207269,-1.2975393760400211,-1.1967103786440745,
CC(=O)Oc1ccc(C(=O)O)cc1,,,-0.3613300135574859,,,,,,
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,-0.6720836564958911,-0.5837304488981179,-1.9749128534268128,-1.818745002138067,-2.390200450145196,-1.532204952970729,-2.2314588317164747,-2.089683326560536,-5.048239753368375
CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C)=O)cc(OC(C)=O)cc3O2)cc1,0.2226296192889456,,-1.6469998214861898,-0.320718766635213,-2.061682127363889,-1.2723589246497933,-2.2724301883229714,-1.7709454155089903,
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,,-1.614585515083469,-2.374987190748424,-1.5484212978993055,-2.3791806711228203,-2.302098536379163,-2.4125093667029427,-2.411327075618015,-4.7893964044438935
CC(=O)Oc1ccccc1C(=O)O,0.0852752734033739,,-0.0564947192856427,-0.4829578323784161,-0.3637288299528441,,-0.4846101599976234,-0.3090933937759559,
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,,,-1.2731956797595994,-0.5885822718013,-1.5653631057628514,-1.9947258489587287,-1.362910702312774,-1.2751422416885536,
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-0.9286556763767044,,,,,-0.3652457514699154,,-0.756600464906482,-2.871511017531572
CC(=O)[C@@]12O[C@@H]1CC1C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@@]12C,,,,,-1.3963053699495156,,,-1.3323140999948826,
CC(=O)[C@@]12O[C@@H]1CC1C3CCC4=CC(=O)CC[C@]4(C)C3[C@H](O)C[C@@]12C,,,,,-2.151902082090536,,-2.187426204943315,,
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-0.3595893526459205,-0.4625177771391837,-0.8283402779184763,-0.5545614172555502,-0.95524254257691,-0.7746451474776371,-0.74088123301012,-0.750282186539938,
CC(=O)[O-].C[N+](C)(C)CCO,,,,,,,0.5220277543774112,,
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,,-0.2950987997240271,-1.1996475343803066,0.0351215354603196,-1.3725075188168496,-1.2572883802195487,-1.2130719025475345,,-2.524800175883866
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,-3.1081650381414296,,-3.4417375284294507,-3.832161943944516,,-3.566140179748999,,,-3.2832804141870446
CC(=O)c1c(C)cc(C(C)(C)C)cc1C,1.1425153688055758,1.1537257989613512,0.8026725520086688,1.1913589794542438,0.7236816740700498,0.8635197690674813,,,
CC(=O)c1c(O)ccc2ccccc12,,,0.2070049960861832,,,,0.0318705602619355,,
CC(=O)c1ccc(N=C2SCC3CCCN2C3)cc1,,,,,,,,,
CC(=O)c1ccc(NC2=NCCC3(CCCCC3)S2)cc1,,,,,,,,,
CC(=O)c1ccc(O)cc1O,,,0.3585033785804412,0.1355488054544499,0.2924569175221462,0.4519427746529272,0.1024060591912374,0.2020387775168537,
CC(=O)c1ccc(S(C)(=O)=O)cc1,,,-0.5229658483378834,-0.4629191729098299,,-0.265660012251215,-0.8592934874842131,-0.7091892399074379,
CC(=O)c1ccc([N+](=O)[O-])cc1,0.5727666256233374,0.6048096685084982,-0.6703917512241516,0.2922116330825073,-1.0007961009433093,-0.4112762827067894,,-0.8837059284484381,
CC(=O)c1ccc2cc(C)ccc2c1,,,,,,,,,
CC(=O)c1ccc2ccc(C)cc2c1,,,,,,,,,
CC(=O)c1ccc2ccccc2c1O,,,-1.023020332544903,,,,-1.0330592028916348,,
CC(=O)c1cccc(O)c1,,,0.5598176568744955,0.3156665392505959,0.4704471159687562,0.7018820178986765,0.32846980080199,0.4105644785179356,-1.3638918596698713
CC(=O)c1cccc([N+](=O)[O-])c1,0.4724607842874651,0.5150142039769018,-0.7646132972154424,0.1900053845702217,-0.9890577174612432,-0.5349923833900383,,-0.9880001260172796,
CC(=O)c1cnccn1,0.266576804093204,,-0.2103272902019559,0.2371894327631567,-0.3947513891077744,0.0179300412348538,,,
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,,-0.1433820383495501,0.1216058716505456,-0.0802357896321435,0.0975221973266045,0.3860702581401002,,0.0606492786961696,
CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,,,-0.91167630941398,-0.8682048960062392,,,,,
CC(C)(C#N)N=NC(C)(C)C#N,0.1189993857087737,,-0.9392591389421796,-0.1349698958709519,,-0.5099399936198744,,,
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,0.426293024713064,0.2367416289011386,0.4201799050858331,0.0788355738286935,,0.7368570309359658,0.2207667330531102,0.3348859397698919,
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,,-0.5947239562422812,,,,,,,
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,-0.018965827646376,,-0.2210747944422744,-0.562480220322144,-0.4736281085634418,,,,
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,-0.1369431521482847,-0.740258499439369,-0.4480030434141034,-0.3457478047112837,-0.6205189234511127,-0.1405618699212977,,-0.6824072079934093,
CC(C)(C)CC(C)(C)c1ccc(O)cc1,,,,,,,,,-4.136784146883684
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-2.59909246558067,,-1.332202822688583,-2.62681837641889,-1.4950251305154534,-0.7318402003062475,-1.8330067340274383,-1.4453639564852152,
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O,-2.052708034703973,,-1.602916226375361,,-2.6272193952484497,,,,-0.8127312498592587
CC(C)(C)NSc1nc2ccccc2s1,,,-0.4607160653885574,,-0.6304541296797667,-0.5122778585938836,-0.435443624416215,,
CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,-0.0613827550108535,-0.4929086045403183,0.3312408339362904,-0.4959176501856174,0.2261477960087231,0.6389541346415608,0.0993036236760065,0.2121124866829534,-1.9466935776358247
CC(C)(C)OC(=O)N[C@@H](CC(=O)O)Cc1cc(F)c(F)cc1F,,,-0.0591558372168766,-0.2188174447225978,,0.2495003488524841,-0.3970484497915489,-0.2002220410878553,
CC(C)(C)OC(=O)N[C@@H](CC(N)=O)C(=O)O,-1.7859177422748134,-2.429847820760328,-1.2734596028412424,,-1.5737777296307995,-0.6785533092114175,-1.907328069520148,-1.6280680048503762,-1.701161961883885
CC(C)(C)OC(=O)N[C@@H](CCC(N)=O)C(=O)O,0.0709474583478486,-1.0249738415793543,0.4749835025327121,-1.511089370916766,0.0490979742691527,,-0.1933879749559163,0.0671242232513231,-0.2815678726591901
CC(C)(C)[C@H](O)[C@H](Cc1ccc(Cl)cc1)n1cncn1,-0.568466139281854,-1.1089870741205423,-0.6911700108458257,-0.7973570290222687,-0.845939173834467,,-0.687270827733278,-0.6538572629155771,-2.2092699912640423
CC(C)(C)c1cc(CCC(=O)NCCCCCCNC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,-1.392296322732027,,-0.7696318097035114,-1.9526305528191688,-1.27985366583583,-1.1864381945711988,,-0.8810413170633552,
CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,,,-2.285603423807018,,-2.714798235265057,-2.263442670305975,,,
CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,-0.1856495737461724,,,0.251562069549508,,0.2412680601774035,,,
CC(C)(C)c1ccc(-c2nnc(-c3ccc(-c4ccccc4)cc3)o2)cc1,,-1.349733830437566,-1.7819844332217856,-0.7991431970272082,-1.803951606371779,-1.7602769007657555,,,
CC(C)(C)c1ccc(C(=O)O)cc1,,,0.1244049425591985,,0.1577427488265381,0.1664992329935986,,,
CC(C)(N)C(=O)O,-2.662155070563025,-2.5077087276303938,-2.3234290621368854,-2.442602651520528,-2.586903129656981,-1.7529209687531169,-2.5301853566917867,-2.3937129174829668,0.1720212284076519
CC(C)(O)P1(=O)OCC2(CO1)COP(=O)(C(C)(C)O)OC2,-2.101233651604625,,-1.5825908122685548,,,-0.8376682806541498,,,-0.5027633234170806
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,,,-0.1243409402629847,,-0.2648015537254505,-0.2968588848345665,-0.0838825015036582,-0.0925128906702211,
CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,,,0.6408134140350823,,,,,0.1908742924543177,-4.215414180460672
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,,-2.41391512609108,-1.243315579623172,-2.093104060913956,-1.5075082638475883,-1.1543665414980295,-1.4387018044455353,-1.3145317840107524,-3.952783499988794
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,,0.5880092394557305,0.7153154256393596,0.5237352066419808,0.1473800808415483,0.7950021267689137,0.1730321777036846,0.5251738945667914,
CC(C)=CCC/C(C)=C/CO,,,,,,,,,-2.245302280697724
CC(C)=CCCC(C)CCO,,,,,,,,,-1.9189643433861443
CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,-1.76183252986283,-2.765784468070537,-1.8907996420700912,-1.7723762990609662,-1.9082719953510656,-2.655833173231561,,-1.5552151392432914,
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,,,-1.1875994319674923,,,,,,-4.386030295644092
CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,,,-1.1073036693392622,,,,,,-4.24401870151806
CC(C)Br,,,,,,,,,-1.4879415664386657
