,SMILES,LogS_water,LogS_ethanol,LogS_benzene,LogS_acetone
91,OCc1c(O)cccc1,-0.29,,,
92,c12c3c4c5c(c1cccc2ccc3)cccc5ccc4,-8.794931,,,
93,Fc1c(N2CC(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,-5.324,,,
94,O=[N+]([O-])c1n(CC(=O)NCc2ccccc2)ccn1,-2.81,,,
95,O=C(Oc1cc(C)cc(C)c1)NC,-2.58,,,
96,Brc1c(Cl)cc(OP(=S)(OC)c2ccccc2)c(Cl)c1,-5.66,,,
97,ClC(Cl)(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,-6.62,,,
98,Clc1cc(NC(=O)OC(C)C)ccc1,-3.38497,,,
99,c12c3cccc1CCc2ccc3,-4.54,,,
100,O=C1C(c2ccccc2)(c2ccccc2)NC(=O)N1,-4.10651,,,
101,c12c(cccc1)CCCC2,-4.37,,,
102,S(=O)(=O)(Nc1oc(C)c(C)n1)c1ccc(N)cc1,-2.44,,,
103,Clc1ccc([N+](=O)[O-])cc1,-2.92,,,
104,O=C(Nc1cc2c(c3c(cccc3)C2)cc1)C,-4.235,,,
105,O([C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)[C@@]1(CO)[C@@H](O)[C@H](O)[C@@H](CO)O1,0.79,,,
106,n1cnccc1,1.1,,,
107,S(=O)(=O)(N(CCC)CCC)c1ccc(C(=O)O)cc1,-4.021,,,
108,O=C(C)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1,-4.71,,,
109,C(CCCCCCCC)CCCCCCC,-8.400008,,,
110,ClC(Cl)(Cl)c1nc(Cl)ccc1,-3.76,,,
111,Clc1c(OC)cc(OC)c2C(=O)C3(C(=CC(=O)CC3C)OC)Oc12,-4.65446,,,
112,Clc1ccc(C(CC(=O)C)c2c(=O)oc3c(c2O)cccc3)cc1,-5.84,,,
113,ClCC(O)CCl,-0.11,,,
114,ClC1(Cl)[C@]2(Cl)C(=C(Cl)[C@@]1(Cl)[C@@H]1[C@H]2[C@H]2[C@@H]3O[C@@H]3[C@@H]1C2)Cl,-6.29,,,
115,S(C(=O)N(CC)C1CCCCC1)CC,-3.4,,,
116,OC(C(C)(C)C)C,-0.62,,,
117,O=C(N)c1cnccc1,0.61,,,
118,Clc1c([N+](=O)[O-])cc(C(=O)O)cc1,-2.66815,,,
119,O(C(OCC)C)CC,-0.43,,,
120,O=C(O)CN,0.521792,,,
121,O1CCCCC1,-0.03,,,
122,Clc1c(Cl)c(Cl)c2Oc3c(Oc2c1Cl)cccc3,-8.770062,,,
123,O=C(OC1C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1)C,-5.18,,,
124,O=C(OCC)CCC(=O)OCC,-0.959,,,
125,O=C(N)C,1.58,,,
126,Brc1c2c(ccc1)cccc2,-4.35,,,
127,O=C(N(CC(=O)N)C)COC(=O)c1ccccc1,-0.918,,,
128,S(=O)(=O)(N)c1c(C(F)(F)F)cc2NCNS(=O)(=O)c2c1,-3.02,,,
129,C1CCCCCC1,-3.52,,,
130,SCC,-0.6,,,
131,S=P(SCCSCC)(OCC)OCC,-4.23,,,
132,O=C(OCCCC)c1c(C(=O)OCCCC)cccc1,-4.33587,,,
133,Cc1c2c(c3c(cc2)cccc3)ccc1,-5.85,,,
134,O=[N+]([O-])c1c(N)cccc1,-1.96,,,
135,Fc1cc2c(=O)c(C(=O)O)cn3C(C)CCc(c23)c1,-3.7326,,,
136,Cc1c2n3c(sc2ccc1)nnc3,-2.07,,,
137,P(=O)(OCC)(OCC)OCC,0.43,,,
138,O=C(N(C)C)NC1CCCCCCC1,-2.36,,,
139,O=C(NCCc1c2c([nH]c1)ccc(OC)c2)C,-5.094,,,
140,ClC(Cl)(Cl)C#N,-2.17,,,
141,O=C1N(Cc2ccccc2)C(=O)NC1(C)C,-1.795,,,
142,S(=O)(=O)(Oc1c(CCCC)c(C)nc(NCC)n1)N(C)C,-4.16,,,
143,Clc1c(OC)ccc(NC(=O)N(C)C)c1,-2.56,,,
144,O=C1C2(C)C(C)(C)C(C1)CC2,-1.95466,,,
145,OC1C2(C)C(C)(C)C(C1)CC2,-2.32,,,
146,Clc1c(Cl)c(Cl)cc(c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1,-9.159894,,,
147,S(=O)(=O)(Nc1sc(C(C)(C)C)nn1)c1ccc(N)cc1,-3.74,,,
148,O=c1n(C)cccc1,0.96,,,
149,S(=O)(=O)(N)c1sc2S(=O)CCC(O)c2c1,-1.348,,,
150,Clc1c(Oc2cc(OC)c([N+](=O)[O-])cc2)ccc(Cl)c1,-5.906,,,
151,O=CNc1ccccc1,-0.68,,,
152,ClCCCCCCC,-3.99,,,
153,S(=O)(=O)(Nc1ncc(C)cn1)c1ccc(N)cc1,-2.82,,,
154,O=C(O)C(NC(=O)C)Cc1c2c([nH]c1)cccc2,-2.31,,,
155,Fc1c(N2C[C@@H](C)N[C@@H](C)C2)c(F)c2n(C3CC3)cc(C(=O)O)c(=O)c2c1N,-3.3711,,,
156,OC(C(O)C(O)CO)C(O)CO,1.09,,,
157,O(COc1c2OC3C(O)CCC4C53c2c(cc1)CC4N(C)CC5)C,-1.959,,,
158,S(=O)(=O)(N)c1ccc(N)cc1,-1.38663,,,
159,O=C(CC)CC,-0.28,,,
160,O=C(N1C(=O)CCCCC1)c1ccccc1,-2.167,,,
161,Fc1c(N2CC(N)(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-5.639,,,
162,O=C(O)CCC,-0.19,,,
163,S(CCC(N)C(=O)O)C,-0.42,,,
164,O=C(N)N1c2c(cccc2)C=Cc2c1cccc2,-3.07931,,,
165,O=[N+]([O-])C(C)C,-0.62,,,
166,OC1CCCCCCC1,-1.29,,,
167,S=C(NCC)NCC,-1.46,,,
168,O=C1[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C(=CC3)C[C@@H](O)CC4)CC2)CC1,-4.06153,,,
169,O=C(N(C)c1ccccc1)NC(C)(C)c1ccccc1,-3.35,,,
170,Nc1n(c2ccccc2)nc(C)c1,-0.938,,,
171,O=C(OCC(=O)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)C(O)C2)CC1)CC(C)(C)C,-5.51,,,
172,O=C(N(C)C)CCCOC(=O)c1ccccc1,-1.229,,,
173,Brc1ccc(C(O)(C(=O)OC(C)C)c2ccc(Br)cc2)cc1,-4.93,,,
174,ClCC(=O)O,0.944261,,,
175,Clc1c(Cl)c(Cl)c2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2c1Cl,-12.790485,,,
176,O=C(NCCO)C(=O)NCCO,-0.112,,,
177,OC(CC)(CC)C,-0.38,,,
178,Clc1c(Cl)c(OC)ccc1Cl,-4.29,,,
179,Clc1cc(Cl)cc(N2C(=O)C(C=C)(C)OC2=O)c1,-4.93,,,
180,Brc1cc2c(CN(C)C)c[nH]c2cc1,-4.0552,,,
181,O=C(N1CC(=O)N2C(c3c(cccc3)CC2)C1)C1CCCCC1,-3.193,,,
182,c12c3c4c(cc1c1c(c2ccc3)cccc1)cccc4,-8.230032,,,
183,O=C(NCCCC)COC(=O)c1ccccc1,-2.759,,,
184,S=C(Nc1ccccc1)N,-1.77,,,
185,Clc1c(Cl)c(Cl)cc(OC)c1Cl,-5.26,,,
186,N#CCC,0.28,,,
187,O=C(N(C)C)C,1.11,,,
188,O=C(COC(=O)c1ccccc1)N1CCCCCC1,-2.542,,,
189,S(CC(=NOC(=O)NC)C(C)(C)C)C,-1.62,,,
190,O=C(OCC=Cc1ccccc1)c1c(N)cccc1,-6.042,,,
191,Clc1c(Cl)c(Cl)ccc1Cl,-4.63015,,,
192,c12c3c(c4c(cc3)cccc4)ccc1c1c(cc2)cccc1,-7.869988,,,
193,O=C1C=C2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@](O)(C)CC4)CC3)CC2)CC1,-3.97988,,,
194,Oc1ccncc1,1.02,,,
195,S(=O)(=O)(Nc1ccc(S(=O)(=O)N)cc1)c1ccc(N)cc1,-2.759,,,
196,S(=O)(=O)(Nc1ncccc1)c1ccc(N)cc1,-2.81913,,,
197,O=C(Oc1n(c2ccccc2)nc(C)c1)N(C)C,-2.09,,,
198,N(C)(C)C,0.84,,,
199,Nc1c(N)cccc1,-0.42,,,
200,S(=O)(=O)(NC(=O)OCCCC)N,-1.038,,,
201,O=C(Nc1ccc(OCC)cc1)N,-2.17,,,
202,O=C(COC(=O)c1ccccc1)N1CCCC1,-1.568,,,
203,Clc1cc2Oc3c(Oc2cc1)cccc3,-5.87,,,
204,Cc1c2c(c3c(cccc3)C2)ccc1,-5.22,,,
205,O=C(NC(=O)C)N,-0.9,,,
206,OCCCCCCCCCCCCCCCCCC,-8.400008,,,
207,N1CCNCC1,1.07,,,
208,Brc1c(Br)cccc1Br,-5.054741,,,
209,ClCCC#N,-0.29,,,
210,Cc1c2c(c3c(c1)cccc3)ccc1c2cccc1,-6.589999,,,
211,S(=O)(=O)(Nc1ncc(OC)cn1)c1ccc(N)cc1,-2.58,,,
212,Oc1cnccc1,-0.46,,,
213,O=C(O)Cn1nnnc1,0.083568,,,
214,Fc1c(N2CCN(C)CC2)c2OCC(C)n3c2c(c(=O)c(C(=O)O)c3)c1,-1.2655,,,
215,O=C(OC)N,0.97,,,
216,OC(c1ccccc1)(c1ccccc1)C1CCN(CCCC(O)c2ccc(C(C)(C)C)cc2)CC1,-4.871,,,
217,c12c3cccc1c1c(c2ccc3)cccc1,-5.945064,,,
218,O=c1nc(c2ccccc2)oc2c1cccc2,-4.61,,,
219,Clc1cc2nccc(Nc3c(C(=O)OCC(O)CO)cccc3)c2cc1,-4.55319,,,
220,O=[N+]([O-])c1cc2C(=NCC(=O)N(C)c2cc1)c1ccccc1,-3.8,,,
221,O=C(O)C1C(C(=O)O)C2OC1CC2,-0.27,,,
222,c12c3c4c5c6c1c(ccc2ccc3ccc4ccc5)ccc6,-9.030118,,,
223,Cc1cc2c(cc3c(c2)cccc3)cc1,-6.959999,,,
224,S(=O)(=O)(N)c1scc(C(=O)c2ccc(C)cc2)c1,-4.449,,,
225,c12c(cc3c(c4c(cccc4)C3)c1)cccc2,-8.040005,,,
226,c12c3cccc1c1c(c2ccc3)cc2c(c1)cccc2,-8.489991,,,
227,O=C(C)C1(C)C2(C)C(C3C=C(C)C4=CC(=O)CCC4(C)C3CC2)CC1,-5.27,,,
228,S(=O)(=O)(N)c1c(C(F)(F)F)cc2NC(Cc3ccccc3)NS(=O)(=O)c2c1,-3.59,,,
229,N(N)C,1.34,,,
230,S(CC)Cc1c(OC(=O)NC)cccc1,-2.09,,,
231,Clc1nc(N(CC)CC)nc(NCC)n1,-4.06,,,
232,O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccc(O)cc1,-3.73,,,
233,FC(F)(F)c1cc([N+](=O)[O-])c(Oc2ccc([N+](=O)[O-])cc2)cc1,-5.22,,,
234,C(CCC(C)C)(C)(C)C,-5.05,,,
235,O=C(OCC)NCCOc1ccc(Oc2ccccc2)cc1,-4.69948,,,
236,c12c(ccc3c4c(cccc4)Cc13)cccc2,-6.679999,,,
237,N(N)c1ccccc1,0.07,,,
238,ClCC(=O)N(COCCCC)c1c(CC)cccc1CC,-4.1915,,,
239,Clc1c(Cl)c(Cl)cc(c1Cl)c1ccccc1,-7.160001,,,
240,OCCCCCCCCCCCCCC,-6.105868,,,
241,S(C(=O)N(C)C)CCCCOc1ccccc1,-3.93,,,
242,C(CCCCCCCCCCCCC)CCCCCCCCCCCC,-8.330032,,,
243,O=C(O)[C@@H](N)Cc1[nH]cnc1,-0.56543,,,
244,O=C1NCCC1,1.07,,,
245,S=P(OCC)(Oc1c(C(=O)OC(C)C)cccc1)NC(C)C,-4.19,,,
246,Clc1cc(O)ccc1,-0.7,,,
247,C(CCC1CCCC1)CC,-6.08,,,
248,OC1CCCCC1,-0.44,,,
249,Cc1c(C)cccn1,0.38,,,
250,Clc1c(Cl)cc(Cl)c(OP(=S)(OC)OC)n1,-4.82,,,
251,O=C(N)C=C,0.970115,,,
252,Clc1c(Cl)cc(Cl)c2Oc3c(Oc12)cccc3,-7.596665,,,
253,C#C,0.29,,,
254,Fc1c(c2cc(C(=O)O)c(O)cc2)ccc(F)c1,-4.114,,,
255,O(C)c1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.6,,,
256,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,-1.815,,,
257,Cc1cc(C)cnc1,0.38,,,
258,O=Cc1occc1,-0.1,,,
259,O=[N+]([O-])c1c(C2C(=C(C)NC(=C2C(=O)OC)C)C(=O)OC)cccc1,-4.63622,,,
260,Clc1c2n(CC(=O)O)c(=O)sc2ccc1,-2.61,,,
261,S(=O)(=O)(N)c1sc2C(=O)CCS(=O)(=O)c2c1,-3.671,,,
262,S(=O)(=O)(Nc1c(Oc2ccccc2)cc([N+](=O)[O-])cc1)C,-4.489,,,
263,O=[N+]([O-])c1oc(C=NNC(=O)N)cc1,-2.92,,,
264,ClC(Cl)(Cl)C(c1ccc(OC)cc1)c1ccc(OC)cc1,-6.589107,,,
265,O=[N+]([O-])NC(=N)N,-1.37,,,
266,O=C(OC)Nc1cc(OC(=O)Nc2cc(C)ccc2)ccc1,-4.789885,,,
267,O=C(O)C(N)Cc1n[nH]c2c1cccc2,-1.407,,,
268,c12c(cc3c(c1)cccc3)cc1c(c2)cccc1,-8.59998,,,
269,S(=O)(=O)(N)c1scc(S(=O)(=O)c2ccc(O)cc2)c1,-3.027,,,
270,O=C(N(CCO)CC)COC(=O)c1ccccc1,-1.367,,,
271,O=C(OCCCCCC(C)C)c1c(C(=O)OCCCCCC(C)C)cccc1,-6.639999,,,
272,OC(C(C)C)(C)C,-0.41,,,
273,Fc1c(N2CC(N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-5.269,,,
274,O=C(Oc1cc(C)c(N(C)C)cc1)NC,-2.36,,,
275,ClC1=CC=CCC(=C1NC1C(=CC=CC=C1)CC(=O)OCC(=O)NC(C(=O)OC)C)Cl,-1.45272,,,
276,C(CCC)CCC,-4.53,,,
277,O=C(OC1(C#C)C2(C)C(C3C(C4C(=CC(=O)CC4)CC3)CC2)CC1)C,-4.79,,,
278,OC1C(O)C(O)CC(O)C1O,-0.17,,,
279,O=C(NN=C(C=NNC(=O)N)C)N,-1.948,,,
280,O=C(Nc1c(C)cccc1C)C1N(C)CCCC1,-1.55,,,
281,Clc1cc2oc(=O)n(CSP(=S)(OCC)OCC)c2cc1,-5.23,,,
282,O=C(O)CCCCCCCCCCCCCCC,-6.809999,,,
283,O=C(N)c1nccnc1,-0.74,,,
284,O=[N+]([O-])c1c(O)cccc1,-1.74,,,
285,S(=O)(=O)(Oc1cc2C(C)(C)C(OCC)Oc2cc1)C,-3.42,,,
286,O=C(OCCCC)c1c(C(=O)OCc2ccccc2)cccc1,-5.649453,,,
287,O(C)c1nc(NC(C)C)nc(NC(C)C)n1,-2.48,,,
288,O=c1n(CC)c2c(n(CC)c3ncccc13)nccc2,-2.86,,,
289,Oc1ccccc1,0.0,,,
290,O=C(OC1=CC(=O)CC(C)(C)C1)N(C)C,-0.85,,,
291,Clc1c(Cl)cc(c(Cl)c1)c1cc(Cl)c(Cl)cc1,-7.39,,,
292,Clc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-4.89,,,
293,Oc1ccc(C)cc1,-0.7,,,
294,O=C(O)C(O)c1ccccc1,0.050732,,,
295,O=C(OCC)CC(=O)OCC,-0.82,,,
296,O=[N+]([O-])c1c(C)ccc2c1cccc2,-4.272,,,
297,Clc1c(c2c(Cl)cccc2)cccc1,-5.27,,,
298,S=C=Nc1c2c(ccc1)cccc2,-4.6,,,
299,O=C(O)CCCC(=O)O,1.0,,,
300,S(=O)(=O)(N(C(=O)C)c1c(C)c(C)no1)c1ccc(N)cc1,-3.59,,,
301,O=C(Nc1ccccc1)c1c(C)occ1,-3.3,,,
302,Clc1c(Cl)cc(Cl)c(Cl)c1,-5.512673,,,
303,O=C1CCCCC1,-0.6,,,
304,Clc1c(Cl)cc(OP(=S)(OC)OC)c(Cl)c1,-5.72,,,
305,Clc1ccc(c2c(CC(=O)O)sc(c3ccccc3)n2)cc1,-4.966,,,
306,O=C(OCC)C=C,-0.74,,,
307,Clc1c(S(=O)(=O)N)cc(C2(O)NC(=O)c3c2cccc3)cc1,-3.38927,,,
308,Nc1cc(C)ccc1,-0.85,,,
309,S(=O)(=O)(Nc1noc(C)c1)c1ccc(N)cc1,-2.77844,,,
310,S(=O)(=O)(NC(=O)NCCCC)c1ccc(C)cc1,-3.39,,,
311,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.51,,,
312,O=C(OC(C)C)C,-0.55,,,
313,Clc1c(C2=NCc3n(c(C)nn3)c3c2cc(Cl)cc3)cccc1,-4.08,,,
314,CC1NCCNC1,0.74,,,
315,O=C(OCC)N,0.85,,,
316,O=C(Nc1cnc(OC)cc1)C1CC1,-2.138,,,
317,O=C(N(C(=O)C)C)COC(=O)c1ccccc1,-0.495,,,
318,C(=C)CCCCCCC,-5.05,,,
319,O=[N+]([O-])CCC,-0.8,,,
320,O=C(NCCc1cc(OC)c(OC)cc1)CNc1cc(C(=O)NC)ccc1,-1.845,,,
321,Cc1c2c(c(C)c3c1cccc3)cccc2,-6.570001,,,
322,N(CCNCc1ccccc1)Cc1ccccc1,-1.206,,,
323,n1ccccc1,0.76,,,
324,Cc1ccc(c2sc3c(n2)cccc3)cc1,-4.353,,,
325,C(CCCCC)(C)C,-5.08,,,
326,ClC(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,-6.509999,,,
327,Fc1c(C(O)(Cn2ncnc2)c2ccc(F)cc2)cccc1,-3.37,,,
328,CC1OCCC1,0.11,,,
329,OC(CNC(C)C)c1cc(O)c(O)cc1,0.14,,,
330,Clc1c(C)ccc(NC(=O)N(C)C)c1,-3.46,,,
331,S=P(SC(C(=O)OCC)CC(=O)OCC)(OC)OC,-3.36264,,,
332,O=C(Nc1ccccc1)NC1C(C)CCCC1,-4.11,,,
333,P(=O)(OCCCC)(OCCCC)O,-1.087,,,
334,OC(CCC)C,-0.29,,,
335,Cc1nccc(C)c1,0.38,,,
336,O(CC(O)CNC(C)C)c1c2c([nH]cc2)ccc1,-3.85453,,,
337,Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NCNc2c1,-2.6939,,,
338,O(C)c1c(OC)ccc2C(C3N(C)CCc4c3cc3OCOc3c4)OC(=O)c12,-4.11,,,
339,ClC(=CC1C(C)(C)C1C(=O)OC(C#N)c1cc(Oc2ccccc2)ccc1)Cl,-8.019997,,,
340,[nH]1cccc1,-0.17,,,
341,Cc1cc2c(c3c(cc2)cccc3)cc1,-5.84,,,
342,FC(F)(F)c1c2[nH]c(=O)c3c(n(CC)c2nc(C)c1)nccc3,-4.21,,,
343,O=C(O)CCC(=O)O,-0.2,,,
344,Clc1c(Cl)ccc(c2c(Cl)ccc(Cl)c2)c1,-7.250001,,,
345,O=[N+]([O-])c1c(C(=O)O)c(C(=O)O)ccc1,-1.00776,,,
346,O=COCCC,-0.49,,,
347,OC(C)C,0.43,,,
348,Oc1noc(C)c1,-0.07,,,
349,S(=O)(=O)(N)c1ccccc1,-1.56,,,
350,c12c3cccc1c1c4c(ccc1c2ccc3)cccc4,-8.0,,,
351,Clc1c(CN2C(=O)C(C)(C)CO2)cccc1,-2.34,,,
352,O=C(O)CN(CCC#N)CCC#N,0.46,,,
353,Nc1c2c(c3c(c4c(cc3)cccc4)c1)cccc2,-6.2,,,
354,S=C1SCC(=O)N1,-1.77,,,
355,O=[N+]([O-])c1cc2C(=NCC(=O)Nc2cc1)c1ccccc1,-3.79244,,,
356,S(=O)(=O)(Nc1scc(C)n1)c1ccc(N)cc1,-2.909,,,
357,Clc1cc([N+](=O)[O-])ccc1,-2.77,,,
358,ICCC(=O)O,-0.43,,,
359,S=c1[nH]c(=O)cc(CCC)[nH]1,-2.15,,,
360,Cc1nc2ncncc2nc1,0.06,,,
361,O=[N+]([O-])c1n(CC(O)C)c(C)nc1,-0.737,,,
362,OCC(C)(C)C,-0.4,,,
363,Clc1c(Cl)c(Cl)cc(Cl)c1c1c(Cl)cc(Cl)c(Cl)c1,-7.919987,,,
364,O=C(O)C(C)C,0.28,,,
365,P(=O)(OC(=CC(=O)NC)C)(OC)OC,0.65,,,
366,O=c1n(C)c(=O)c2n(CC(O)CO)cnc2n1C,-0.17,,,
367,CC1=Nc2c(N=C(C)C1)cccc2,-1.367,,,
368,Clc1c(Cl)cc2c(oc3c2cc(Cl)c(Cl)c3)c1,-8.860121,,,
369,O=C(NC(=O)C(C(C)C)CC=C)N,-2.747,,,
